09:07:20.768 -> timestamp,accel_x,accel_y,accel_z,sound_level
09:07:54.385 -> 35198,0.008301,-1.010742,-0.004761,9
09:07:54.485 -> 35298,0.009033,-1.011597,-0.004883,17
09:07:54.584 -> 35398,0.009033,-1.012207,-0.002808,49
09:07:54.683 -> 35498,0.009888,-1.011597,-0.004517,9
09:07:54.782 -> 35598,0.008911,-1.010254,-0.004517,2
09:07:54.879 -> 35698,0.009521,-1.011108,-0.004272,29
09:07:54.979 -> 35798,0.019287,-1.017578,-0.018677,214
09:07:55.077 -> 35898,-0.003906,-1.029175,-0.053223,53
09:07:55.176 -> 35998,0.045898,-1.035889,-0.013550,14
09:07:55.275 -> 36098,0.004150,-1.008179,0.001465,32
09:07:55.374 -> 36198,0.009277,-1.007080,-0.010742,285
09:07:55.472 -> 36298,0.003052,-1.013428,-0.015381,58
09:07:55.572 -> 36398,0.026489,-1.015503,-0.044067,502
09:07:55.670 -> 36498,0.007446,-1.010864,0.000244,66
09:07:55.768 -> 36598,0.009888,-1.009888,-0.005249,7
09:07:55.867 -> 36698,0.008667,-1.010742,-0.005249,9
09:07:55.965 -> 36798,0.009521,-1.010376,-0.004517,9
09:07:56.062 -> 36898,0.010132,-1.011719,-0.004761,13
09:07:56.193 -> 36998,0.009521,-1.010742,-0.005371,7
09:07:56.292 -> 37098,0.009155,-1.010620,-0.004639,3
09:07:56.391 -> 37198,0.009277,-1.012085,-0.003906,7
09:07:56.490 -> 37298,0.009521,-1.011353,-0.005859,4
09:07:56.589 -> 37398,0.009644,-1.011230,-0.005371,8
09:07:56.688 -> 37498,0.007080,-1.010620,-0.006226,7
09:07:56.787 -> 37598,0.010620,-1.010620,-0.004761,2
09:07:56.885 -> 37698,0.027832,-0.994507,-0.012939,256
09:07:56.985 -> 37798,-0.001709,-1.010620,-0.012695,22
09:07:57.084 -> 37898,0.187622,-0.910400,-0.072754,153
09:07:57.182 -> 37998,-0.001953,-1.022705,-0.037476,67
09:07:57.281 -> 38098,0.002441,-1.004395,-0.024536,52
09:07:57.380 -> 38198,0.005981,-1.012695,-0.002808,11
09:07:57.479 -> 38298,0.004639,-1.012573,-0.008789,5
09:07:57.579 -> 38398,0.011230,-1.012207,-0.012817,7
09:07:57.679 -> 38498,-0.024902,-1.017578,-0.023926,42
09:07:57.778 -> 38598,0.013184,-1.012817,-0.010010,3
09:07:57.876 -> 38698,0.003418,-1.013550,-0.010132,10
09:07:57.974 -> 38798,0.029663,-1.009033,-0.005981,6
09:07:58.073 -> 38898,-0.040894,-1.012329,0.017334,59
09:07:58.171 -> 38998,-0.025269,-1.006836,-0.015503,30
09:07:58.270 -> 39098,0.010742,-1.012817,-0.012329,13
09:07:58.369 -> 39198,0.009766,-1.011230,-0.006104,1
09:07:58.468 -> 39298,0.010010,-1.011841,-0.004395,3
09:07:58.566 -> 39398,0.008423,-1.010864,-0.004761,3
09:07:58.664 -> 39498,0.008667,-1.011475,-0.002197,18
09:07:58.762 -> 39598,0.009399,-1.011841,-0.005127,4
09:07:58.862 -> 39698,0.010254,-1.008057,-0.003418,29
09:07:58.994 -> 39798,0.010498,-1.011475,-0.006226,7
09:07:59.092 -> 39898,0.010254,-1.010376,-0.002930,2
09:07:59.191 -> 39998,0.010254,-1.010376,-0.005127,25
09:07:59.292 -> 40098,0.009888,-1.011108,-0.005005,33
09:07:59.390 -> 40198,0.005493,-1.010620,-0.000366,17
09:07:59.489 -> 40298,0.009277,-1.010986,-0.004150,2
09:07:59.588 -> 40398,0.007935,-1.011841,-0.002930,10
09:07:59.687 -> 40498,0.010498,-1.009888,-0.004028,5
09:07:59.786 -> 40598,0.009033,-1.011841,-0.004395,7
09:07:59.884 -> 40698,0.009644,-1.010376,-0.004272,61
09:07:59.983 -> 40798,0.009888,-1.010864,-0.005371,27
09:08:00.083 -> 40898,0.010254,-1.011719,-0.005981,3
09:08:00.182 -> 40998,0.010254,-1.010132,-0.005615,2
09:08:00.282 -> 41098,0.008911,-1.011963,-0.005005,9
09:08:00.379 -> 41198,0.010376,-1.011108,-0.004395,11
09:08:00.478 -> 41298,0.010132,-1.011108,-0.004395,5
09:08:00.577 -> 41398,0.009277,-1.011108,-0.004761,2
09:08:00.675 -> 41498,0.010010,-1.011719,-0.005249,2
09:08:00.774 -> 41598,0.009277,-1.009644,-0.004028,2
09:08:00.872 -> 41698,-0.011963,-1.011963,-0.003052,57
09:08:00.971 -> 41798,0.013428,-1.010254,-0.002563,8
09:08:01.070 -> 41898,0.008667,-1.010742,-0.004150,3
09:08:01.169 -> 41998,0.013428,-1.007935,-0.001831,36
09:08:01.268 -> 42098,0.012939,-1.014771,-0.004883,8
09:08:01.366 -> 42198,0.012207,-1.010010,-0.006104,4
09:08:01.462 -> 42298,0.011841,-1.010620,-0.003906,6
09:08:01.593 -> 42398,0.009033,-1.008911,-0.002808,2
09:08:01.692 -> 42498,0.010376,-1.012573,-0.004639,2
09:08:01.792 -> 42598,0.010376,-1.009399,-0.003052,3
09:08:01.891 -> 42698,0.002197,-1.008301,-0.001099,31
09:08:01.990 -> 42798,0.020386,-1.010376,0.000122,84
09:08:02.087 -> 42898,0.006958,-1.011597,-0.006104,10
09:08:02.187 -> 42998,0.037354,-0.994141,-0.002075,123
09:08:02.286 -> 43098,0.055420,-0.918701,-0.024414,136
09:08:02.384 -> 43198,0.014648,-0.952759,-0.034668,112
09:08:02.482 -> 43298,0.053833,-0.958252,-0.013428,109
